brand,model,year,kilometer,fuel,engine,transmission,price
Fiat,Uno,1986.0,,Essence,,Manuelle, 25.0000 DA 
Volkswagen, 7 Golf,2014.0,,Essence,1.4,Automatique, 25.0000 DA 
Daewoo, Racer,1992.0,,GPL,1.6 ess ch,Manuelle, 25.0000 DA 
Fiat, Fiorino,2006.0,160km,Diesel,1.7,Manuelle, 25.0000 DA 
Renault,4,1985.0,120km,Essence,,Manuelle, 25.0000 DA 
Kia, Shuma,2000.0,200000km,Essence,1.5,Manuelle, 25.0000 DA 
SsangYong, Actyon Sports,2011.0,290km,Diesel,,Manuelle, 25.0000 DA 
Renault,4,1985.0,,Essence,,Manuelle, 25.0000 DA 
Hyundai, EON GLS,2013.0,320km,Essence,1.0 ess 62ch,Manuelle, 25.0000 DA 
Mazda,626,1985.0,,GPL,,Manuelle, 25.0000 DA 
Mitsubishi, Lancer,2000.0,,Essence,1.3 ess,Manuelle, 25.0000 DA 
Peugeot,205,1985.0,,Essence,,Manuelle, 25.0000 DA 
Renault, MILADI Symbol,2017.0,210km,GPL,1.6 ess MPi  80 ch,Manuelle, 25.0000 DA 
Volkswagen, Polo,1992.0,6856km,Essence,1.3 ess 115ch,Manuelle, 25.0000 DA 
Renault, R4 TL,1985.0,,Essence,TL,Manuelle, 25.0000 DA 
Renault,4,1986.0,1111111km,Essence,Gtl,Manuelle, 25.0000 DA 
Nissan,.Von  Von,1988.0,88888km,Essence,Fiat,Manuelle, 25.0000 DA 
Fiat, Ponda,1985.0,,Essence,45,Manuelle, 25.0000 DA 
Kia, Picanto Pop plus,2014.0,102.000km,Essence,1.2 ess CVVT 87ch,Manuelle, 25.0000 DA 
Peugeot,404,1979.0,,Essence,9 cheveau,Manuelle, 25.0000 DA 
Fiat, Tipo,1992.0,3000000km,Essence,1.4 ess 72ch,Manuelle, 25.0000 DA 
Peugeot,,1974.0,999999999km,Essence,,Manuelle, 25.0000 DA 
Renault,4,1985.0,99999km,Essence,1.1 ess 34ch,Manuelle, 25.0000 DA 
Renault,2  Clio,2005.0,00km,Essence,1.2 ess 60ch,Manuelle, 25.0000 DA 
Forgonet, Merida Rien s,2005.0,111111111km,Essence,Simple,Manuelle, 25.0000 DA 
Peugeot, 204 GL,1968.0,1000000km,Essence,1.1 ess 53ch,Manuelle, 25.0000 DA 
Peugeot,404,1983.0,111111km,Essence,La 10,Manuelle, 25.0000 DA 
Dacia, Logan,2015.0,137000km,Essence,1.2 ess 16V 75ch,Manuelle, 25.0000 DA 
Renault,4,1985.0,,Essence,,Manuelle, 25.0000 DA 
Renault,4,1984.0,,Essence,1.1 ess 34ch,Manuelle, 25.0000 DA 
Opel,1.9  Vectra,1996.0,,Diesel,1.9,Manuelle, 25.0000 DA 
Peugeot,305,1985.0,000000km,Essence,,Manuelle, 25.0000 DA 
Peugeot,404,1974.0,,Essence,1.6 ess 73ch,Manuelle, 25.0000 DA 
Renault, Dacia R12,1997.0,4444km,Essence,,Manuelle, 25.0000 DA 
Peugeot, J5,1990.0,,GPL,11,Manuelle, 25.0000 DA 
Honda, Civic,1983.0,525888888km,GPL,accord,Manuelle, 25.0000 DA 
Peugeot, 208 Allure,2019.0,,,1.6 HDI 115ch,Manuelle, 25.0000 DA 
Renault, 4 Top,1982.0,12300km,Essence,Gtl,Manuelle, 25.0000 DA 
Renault,4,1984.0,,Essence,TL,Manuelle, 25.0000 DA 
Seat, Ibiza,1990.0,301900km,Essence,1.5 ess 90ch,Manuelle, 25.0000 DA 
Peugeot,309,1986.0,3333333km,Essence,1.1 ess 55ch,Manuelle, 25.0000 DA 
Volkswagen, Jetta,1987.0,,Essence,,Manuelle, 25.0000 DA 
Dacia, Sandero Stepway,2018.0,80000km,Diesel,,Manuelle, 25.0000 DA 
Dacia, Toros,1995.0,11111km,Essence,R12,Manuelle, 25.0000 DA 
Opel, Rekord,1970.0,,,,, 25.0000 DA 
Citroen, Xsara,1999.0,,,,, 25.0000 DA 
Renault,18,1983.0,,,,, 25.0000 DA 
Mazda,626,1985.0,,,,, 25.0000 DA 
Fiat, Uno,1987.0,,,,, 25.0000 DA 
Renault,12  camionette,1980.0,,,,, 25.0000 DA 
Renault,4,1984.0,,,,, 25.0000 DA 
Suzuki, Dzire Swift,2015.0,,,,, 25.0000 DA 
Peugeot,309,1989.0,,,,, 25.0000 DA 
Peugeot,305,1986.0,452368km,Essence,1.5 ess 74ch,Manuelle, 26.0000 DA 
Renault,4,1984.0,,Essence,GTl,Manuelle, 26.0000 DA 
Renault,4,1983.0,300000km,Essence,0.9 ess 34ch,Manuelle, 26.0000 DA 
Renault,12,1971.0,66666km,Essence,1.6 ess 125ch,Manuelle, 26.0000 DA 
Renault,4,1981.0,11111km,Essence,GTL,Manuelle, 26.0000 DA 
Renault, R4,1974.0,,Essence,GTL,Manuelle, 26.0000 DA 
Daewoo, Daewoo Damas,1992.0,00km,Essence,1.3,Manuelle, 26.0000 DA 
Fiat, Fiorino,2006.0,,Diesel,1.7,Manuelle, 26.0000 DA 
Peugeot,504,1970.0,5km,Essence,2.0 ess 104ch,Manuelle, 26.0000 DA 
Fiat, Fiorino,2005.0,00km,Diesel,,Manuelle, 26.0000 DA 
Renault,21,1992.0,,,,, 26.0000 DA 
Nissan, City Micra,2011.0,240km,Essence,1.3 ess 80ch,Manuelle, 27.0000 DA 
Citroen, AX,1992.0,1km,Essence,1.4 ess 75ch,Manuelle, 27.0000 DA 
Peugeot,505,1987.0,999999km,Essence,2.0 ess 108ch,Manuelle, 27.0000 DA 
Daewoo, Nubira,1999.0,500km,GPL,1.6 ess 106ch,Manuelle, 27.0000 DA 
Fiat, Tipo,1989.0,,GPL,1.6 ess 84ch,Manuelle, 27.0000 DA 
Fiat, Uno,1994.0,0000km,Essence,Ess,Manuelle, 27.0000 DA 
Daewoo, Racer,1992.0,,GPL,1.5 ess ch,Manuelle, 27.0000 DA 
Peugeot, R4,1985.0,,Essence,,Manuelle, 27.0000 DA 
Renault, 4 Gtr,1985.0,,Essence,1.1 ess 34ch,Manuelle, 27.0000 DA 
Peugeot,206,1999.0,6535km,,1.9 D 70ch,Manuelle, 27.0000 DA 
Nissan, Bien Patphander,2010.0,288km,Diesel,,Automatique, 27.0000 DA 
tl, R4,1981.0,,Essence,Tl,, 27.0000 DA 
Renault,4,1985.0,,Essence,GTL,, 27.0000 DA 
Renault,5,1984.0,,Essence,Gtl,Manuelle, 27.0000 DA 
Renault, 5 Renault,1980.0,000km,Essence,1.1 ess 45ch,Manuelle, 27.0000 DA 
Seat, Leon,2014.0,290000km,Diesel,,Manuelle, 27.0000 DA 
Renault, Express,1986.0,,,,, 27.0000 DA 
Peugeot, 205 405 bx,1993.0,,,,, 27.0000 DA 
