brand,model,year,kilometer,fuel,engine,transmission,price
Audi,A3 Line S,2019,77000km,Diesel,2.0 TDI 143ch S-Tronic,Automatique, 660.0000 DA 
Volkswagen,Carat Polo,2015,119000km,Essence,1.6 mpi,Manuelle, 250.0000 DA 
Renault,Campus Clio,2010,250000km,Essence,1.2 ess 16V 75ch,Manuelle, 165.0000 DA 
Chery,QQ,2012,283000km,Essence,0.8 ess 38ch,Manuelle, 111.0000 DA 
Skoda,Rapid,2019,142000km,Essence,1.6 MPI 110 ch,Manuelle, 11.0000 DA 
Peugeot,406,2000,288000km,Diesel,2.0 HDI 110ch,Manuelle, 200.0000 DA 
Seat,Ibiza STYLE,2018,144000km,Essence,1.6 MPi 110 ch,Manuelle, 295.0000 DA 
Dacia,Duster FaceLift Laureate,2021,72000km,Diesel,1.5 DCI 4X2 110ch,Manuelle, 420.0000 DA 
Peugeot,106,1998,,Diesel,1.5 D 58ch,Manuelle, 72.0000 DA 
Renault,Symbol,2009,346000km,GPL,1.4 ess 75ch,Manuelle, 149.0000 DA 
Renault,Kangoo,2011,290km,Diesel,1.5 DCI 110ch,Manuelle, 123.0000 DA 
Renault,Extreme Symbol,2019,160000km,Essence,1.6 ess 100ch,Manuelle, 111.0000 DA 
Hyundai,Accent,2019,151000km,Diesel,1.6 CRDI 128ch,Manuelle, 250.0000 DA 
Chevrolet,GROOVE,2023,,,,, 480.0000 DA 
Peugeot,207,2012,225000km,Essence,1.4 VTI 95ch,Manuelle, 140.0000 DA 
Hyundai,Accent GLS,2010,400000km,Diesel,CRDI,Manuelle, 95.0000 DA 
Seat,FR Ibiza,2019,139000km,Essence,1.6 MPi 110 ch,Manuelle, 358.0000 DA 
Volkswagen,Caddy,2014,312000km,Diesel,1.6 TDi 102ch,Manuelle, 230.0000 DA 
Renault,4 Clio Limited,2015,116000km,Essence,1.2 ess 16V 75ch,Manuelle, 240.0000 DA 
Volkswagen,6 Golf Style,2012,115000km,Diesel,1.6 TDI 105ch,Manuelle, 295.0000 DA 
Peugeot,308 Allure,2014,75000km,Diesel,1.6 hdi 115ch,Manuelle, 375.0000 DA 
Volkswagen,7 Golf Highline,2013,125000km,Diesel,2.0 TDI 110ch DSG,Automatique, 415.0000 DA 
Dacia,Sandero Stepway,2021,67000km,Diesel,1.5 DCI 90ch,Manuelle, 111.0000 DA 
Renault,5 Clio Rs line,2023,,,,, 475.0000 DA 
Volkswagen,TAIGO,2022,,,,, 520.0000 DA 
Fiat,Doblo,2023,7km,,,Manuelle, 340.0000 DA 
Audi,A3 Line S,2022,41000km,Diesel,2.0 TDI 143ch S-Tronic,Automatique, 780.0000 DA 
Gonow,Cabine Double Mini Truck,2011,130000km,Essence,,Manuelle, 105.0000 DA 
Dacia,Sandero Stepway,2019,136000km,Diesel,1.5 DCI 90ch,Manuelle, 111.0000 DA 
Kia,Picanto Pop,2015,135500km,Essence,1.2 ess CVVT 87ch,Manuelle, 225.0000 DA 
Chery,Forgon,2021,,,,, 160.0000 DA 
Renault,5 Clio Intense,2020,,,,, 310.0000 DA 
Hyundai,Accent,2019,250km,Diesel,1.6 CRDI 128ch,Manuelle, 220.0000 DA 
Chery,QQ,2013,106km,Essence,1.1 ess 68ch,Manuelle, 100.0000 DA 
Volkswagen,#NAME?,2016,228000km,Diesel,150,Automatique, 500.0000 DA 
Seat,FR Leon,2019,110000km,Diesel,2.0 TDI 143ch,Manuelle, 450.0000 DA 
Jaguar,F-Pace R Sport,2016,,,,, 290.0000 DA 
Renault,4,1987,14000km,Essence,1.0 ess 34ch,Manuelle, 130.0000 DA 
Ford,4 Focus portes,2010,375000km,Diesel,1.8 TDCI 115ch,Manuelle, 133.0000 DA 
BMW,3 Serie Sport,2006,400km,Diesel,320d,Manuelle, 100.0000 DA 
DFSK,500 Glory,2024,,,,, 288.0000 DA 
DFSK,Mini cabine simple truck,2024,,,,, 165.0000 DA 
Fiat,Doblo,2024,,,,, 353.0000 DA 
Hyundai,Atos GLS,2007,220000km,Essence,1.1 ess 63ch,Manuelle, 125.0000 DA 
Mercedes,250 Classe E carlsson,2015,145000km,Diesel,250 CDI 204ch,Automatique, 400.0000 DA 
Peugeot,206 Plus,2010,111111km,Essence,1.4 ess 75ch,Manuelle, 130.0000 DA 
