model;price;kilometer;fuel type;vitesse;engine
Fiat Uno 1986 Uno;25;;Essence;;Manuelle
Volkswagen Golf 7 2014 Golf 7;25;;Essence;1.4;Automatique
Daewoo Racer 1992 Racer;25;;GPL;1.6 ess ch;Manuelle
Fiat Fiorino 2006 Fiorino;25;160km;Diesel;1.7;Manuelle
Renault 4 1985 4;25;120km;Essence;;Manuelle
Kia Shuma 2000 Shuma;25;200000km;Essence;1.5;Manuelle
SsangYong Actyon Sports 2011 Actyon Sports;25;290km;Diesel;;Manuelle
Renault 4 1985 4;25;;Essence;;Manuelle
Hyundai EON 2013 GLS;25;320km;Essence;1.0 ess 62ch;Manuelle
Mazda 626 1985 626;25;;GPL;;Manuelle
Mitsubishi Lancer 2000;25;;Essence;1.3 ess;Manuelle
Peugeot 205 1985;25;;Essence;;Manuelle
Renault Symbol 2017 MILADI ;25;210km;GPL;1.6 ess MPi  80 ch;Manuelle
Volkswagen Polo 1992 Polo;25;6856km;Essence;1.3 ess 115ch;Manuelle
Renault R4 1985 TL;25;;Essence;TL;Manuelle
Renault 4 1986 4;25;1111111km;Essence;Gtl;Manuelle
Nissan .Von 1988 Von;25;88888km;Essence;Fiat;Manuelle
Fiat Ponda 1985;25;;Essence;45;Manuelle
Kia Picanto 2014 Pop plus;25;102.000km;Essence;1.2 ess CVVT 87ch;Manuelle
Peugeot 404 1979;25;;Essence;9 cheveau;Manuelle
Fiat Tipo 1992 Tipo;25;3000000km;Essence;1.4 ess 72ch;Manuelle
Peugeot 1974 1974;25;999999999km;Essence;;Manuelle
Renault 4 1985;25;99999km;Essence;1.1 ess 34ch;Manuelle
Renault Clio 2 2005 Clio 2;25;00km;Essence;1.2 ess 60ch;Manuelle
Forgonet Merida s 2005 Rien;25;111111111km;Essence;Simple;Manuelle
Peugeot 204 1968 GL;25;1000000km;Essence;1.1 ess 53ch;Manuelle
Peugeot 404 1983 404;25;111111km;Essence;La 10;Manuelle
Dacia Logan 2015 Logan;25;137000km;Essence;1.2 ess 16V 75ch;Manuelle
Renault 4 1985;25;;Essence;;Manuelle
Renault 4 1984 4;25;;Essence;1.1 ess 34ch;Manuelle
Opel Vectra 1996 1.9;25;;Diesel;1.9;Manuelle
Peugeot 305 1985;25;000000km;Essence;;Manuelle
Peugeot 404 1974 404;25;;Essence;1.6 ess 73ch;Manuelle
Renault R12 1997 Dacia;25;4444km;Essence;;Manuelle
Peugeot J5 1990;25;;GPL;11;Manuelle
Honda Civic 1983 Civic;25;525888888km;GPL;accord;Manuelle
Peugeot 208 2019 Allure;25;;;1.6 HDI 115ch;Manuelle
Renault 4 1982 1982 Top;25;12300km;Essence;Gtl;Manuelle
Renault 4 1984 4;25;;Essence;TL;Manuelle
Seat Ibiza 1990;25;301900km;Essence;1.5 ess 90ch;Manuelle
Peugeot 309 1986 309;25;3333333km;Essence;1.1 ess 55ch;Manuelle
Volkswagen Jetta 1987 Jetta;25;;Essence;;Manuelle
Dacia Sandero 2018 Stepway;25;80000km;Diesel;;Manuelle
Dacia Toros 1995;25;11111km;Essence;R12;Manuelle
Opel Rekord 1970;25;;;;
Citroen Xsara 1999;25;;;;
Renault 18 1983;25;;;;
Mazda 626 1985;25;;;;
Fiat Uno 1987;25;;;;
Renault 12 1980 camionette;25;;;;
Renault 4 1984;25;;;;
Suzuki Swift 2015 Dzire;25;;;;
Peugeot 309 1989;25;;;;
Peugeot 305 1986 305;26;452368km;Essence;1.5 ess 74ch;Manuelle
Renault 4 1984 4;26;;Essence;GTl;Manuelle
Renault 4 1983 4;26;300000km;Essence;0.9 ess 34ch;Manuelle
Renault 12 1971 12;26;66666km;Essence;1.6 ess 125ch;Manuelle
Renault 4 1981 4;26;11111km;Essence;GTL;Manuelle
Renault R4 1974;26;;Essence;GTL;Manuelle
Daewoo Damas 1992 Daewoo;26;00km;Essence;1.3;Manuelle
Fiat Fiorino 2006;26;;Diesel;1.7;Manuelle
Peugeot 504 1970 504;26;5km;Essence;2.0 ess 104ch;Manuelle
Fiat Fiorino 2005;26;00km;Diesel;;Manuelle
Renault 21 1992;26;;;;
Nissan Micra 2011 City;27;240km;Essence;1.3 ess 80ch;Manuelle
Citroen AX 1992 AX;27;1km;Essence;1.4 ess 75ch;Manuelle
Peugeot 505 1987 505;27;999999km;Essence;2.0 ess 108ch;Manuelle
Daewoo Nubira 1999 Nubira;27;500km;GPL;1.6 ess 106ch;Manuelle
Fiat Tipo 1989 Tipo;27;;GPL;1.6 ess 84ch;Manuelle
Fiat Uno 1994 Uno;27;0000km;Essence;Ess;Manuelle
Daewoo Racer 1992 Racer;27;;GPL;1.5 ess ch;Manuelle
Peugeot R4 1985;27;;Essence;;Manuelle
Renault 4 1985 Gtr;27;;Essence;1.1 ess 34ch;Manuelle
Peugeot 206 1999 206;27;6535km;;1.9 D 70ch;Manuelle
Nissan Patphander 2010 Bien;27;288km;Diesel;;Automatique
tl R4 1981;27;;Essence;Tl;
Renault 4 1985;27;;Essence;GTL;
Renault 5 1984 5;27;;Essence;Gtl;Manuelle
Renault 5 1980 Renault;27;000km;Essence;1.1 ess 45ch;Manuelle
Seat Leon 2014;27;290000km;Diesel;;Manuelle
Renault Express 1986;27;;;;
Peugeot 205 1993 405 bx;27;;;;
Daewoo Nubira 1998 Nubira;28;1111km;Essence;1.6 ess 106ch;Manuelle
Peugeot 309 1991 2 portes;28;700000km;Diesel;xud 1.8 diesel;Manuelle
Yamaha Stunt 2009;28;;;;
Volkswagen Golf 2 1987 Golf 2;28;1111km;Diesel;1.9 simple;Manuelle
Seat Leon fr 2014 Leon;28;;;;
Renault 19 1993 19;28;000000km;Diesel;1.9 DT 93ch;Manuelle
Daewoo Nubira 1999 Nubira;28;500000km;Essence;;Manuelle
Volkswagen Amazoun 1988;28;44444km;Essence;1.8 90;Manuelle
Seat Marbella 1997 Marbella;28;0000km;Essence;0.9 ess 42ch;Manuelle
Peugeot 205 1987;28;;Essence;1.1 ess 50ch;Manuelle
