brand,model,year,kilometer,engine,transmission,fuel,nb_of_doors,price
FIAT,Turbo 2013,2013,"48,390",135 hp 1.4L I4,5-Speed Manual,Gasoline,2 doors,"$7,787 "
FIAT,Trekking 2014,2014,"98,119",160 hp 1.4L I4,6-Speed Automatic,Gasoline,4 doors,"$5,800"
FIAT,Salon Cabriolet 2013,2013,"73,482",101 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$7,495"
FIAT,Sport 2012,2012,"73,873",101 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$4,999"
FIAT,Sport 2013,2013,"90,056",101 hp 1.4L I4,Automatic,Gasoline,2 doors,"$5,880"
FIAT,Abarth 2014,2014,"76,095",160 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$6,999"
FIAT,Facile 2016,2016,"69,670",180 hp 2.4L I4,Automatic,Gasoline,4 doors,"$8,995"
FIAT,Salon Cabriolet 2013,2013,"74,022",101 hp 1.4L I4,Automatic,Gasoline,2 doors,"$6,995"
FIAT,Pop 2015,2015,"31,036",101 hp 1.4L I4,Automatic,Gasoline,2 doors,"$7,950"
FIAT,Pop 2012,2012,"104,224 ",101 hp 1.4L I4,5-Speed Manual,Gasoline,2 doors,"$6,500"
FIAT,Pop 2012,2012,"121,926",101 hp 1.4L I4,Automatic,Gasoline,2 doors,"$3,497"
FIAT,Spider Classique 2018,2018,"21,411",160 hp 1.4L I4,Automatic,Gasoline,2 doors,"$16,918"
FIAT,Abarth 2013,2013,"108,134 ",160 hp 1.4L I4,5-Speed Manual,Gasoline,2 doors,"$9,995"
FIAT,500L Facile,2014,"104,387",160 hp 1.4L I4,6-Speed Automatic,Gasoline,4 doors,"$5,199"
FIAT,Pop 2012,2012,"65,469",101 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$6,995"
FIAT,Sport 2013,2013,"91,386",101 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$7,241"
FIAT,Sport 2012,2012,"52,527",101 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$7,700"
FIAT,Salon 2012,2012,"81,455",101 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$5,500"
FIAT,Salon Cabriolet 2015,2015,"60,294",101 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$7,995"
FIAT,500X Salon TI,2016,"99,984",180 hp 2.4L I4,Automatic,Gasoline,4 doors,"$8,999"
FIAT,Trekking 2017,2017,"115,939",180 hp 2.4L I4,9-Speed Automatic,Gasoline,4 doors,"$8,000"
FIAT,Trekking 2018,2018,"48,377",160 hp 1.4L I4,Automatic,Gasoline,4 doors,"$13,900"
FIAT,Pop 2016,2016,"65,331",160 hp 1.4L I4,6-Speed Manual,Gasoline,4 doors,"$7,300"
FIAT,500X Trekking TI,2016,"88,738",180 hp 2.4L I4,9-Speed Automatic,Gasoline,4 doors,"$9,995"
FIAT,500 Abarth Hayon TA,2017,"55,062",160 hp 1.4L I4,5-Speed Manual,Gasoline,2 doors,"$12,771"
FIAT,500 Sport,2012,"105,074",101 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$3,999"
FIAT,500L Trekking,2015,"105,828",160 hp 1.4L I4,Automatic,Gasoline,4 doors,"$5,995"
FIAT,500 Pop Convertible,2012,"75,930",101 hp 1.4L I4,5-Speed Manual,Gasoline,2 doors,"$8,109"
FIAT,500 Abarth Convertible,2013,"43,040",160 hp 1.4L I4,Manual,Gasoline,2 doors,"$12,500"
FIAT,500X Trekking,2016,"87,089",180 hp 2.4L I4,9-Speed Automatic,Gasoline,4 doors,"$7,500"
FIAT,500 Pop Convertible,2012,"81,882",101 hp 1.4L I4,5-Speed Manual,Gasoline,2 doors,"$6,800"
FIAT,500 Lounge Convertible,2012,"101,212",101 hp 1.4L I4,Automatic,Gasoline,2 doors,"$5,997"
FIAT,124 Spider Classica,2019,"22,258",160 hp 1.4L I4,6-Speed Automatic,Gasoline,2 doors,"$18,999"
FIAT,500L Pop FWD,2019,"96,284",160 hp 1.4L I4,6-Speed Automatic,Gasoline,4 doors,"$10,980"
FIAT,500X Blue Sky Edition FWD,2018,"47,598",180 hp 2.4L I4,Automatic,Gasoline,4 doors,"$10,999"
