brand,model,engine,nb of doors,year,transmission,price,fuel,kilometer
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2019,4-Speed Automatic,"$14,764",Gasoline,"51,312 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2018,4-Speed Automatic,"$13,750",Gasoline,"57,739 mi"
Dodge,Journey American Value Package FWD,173 hp 2.4L I4,4 doors,2014,4-Speed Automatic,"$5,949",Gasoline,"79,883 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2015,4-Speed Automatic,"$2,500",Gasoline,"147,282 mi"
Dodge,Journey SE Value FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$10,998",Gasoline,"137,986 mi"
Dodge,Journey SE Value FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$15,924",Gasoline,"46,488 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2015,4-Speed Automatic,"$9,200",Gasoline,"103,802 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2017,4-Speed Automatic,"$9,995",Gasoline,"71,586 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2018,4-Speed Automatic,"$8,800",Gasoline,"100,000 mi"
Dodge,Journey SE Value FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$14,559",Gasoline,"66,184 mi"
Dodge,Journey American Value Package FWD,173 hp 2.4L I4,4 doors,2015,4-Speed Automatic,"$6,800",Gasoline,"118,504 mi"
Dodge,Journey Crossroad Plus FWD,173 hp 2.4L I4,4 doors,2017,4-Speed Automatic,"$10,300",Gasoline,"119,177 mi"
Dodge,Journey SE Value FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$17,444",Gasoline,"24,202 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2018,4-Speed Automatic,"$13,300",Gasoline,"59,310 mi"
Dodge,Journey Crossroad FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$17,328",Gasoline,"61,507 mi"
Dodge,Journey Crossroad FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$16,284",Gasoline,"65,863 mi"
Dodge,Journey SXT FWD,173 hp 2.4L I4,4 doors,2018,4-Speed Automatic,"$15,487",Gasoline,"59,934 mi"
Dodge,Journey Crossroad FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$15,982",Gasoline,"81,256 mi"
Dodge,Journey Crossroad FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$18,998",Gasoline,"64,774 mi"
Dodge,Journey Crossroad FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$16,998",Gasoline,"66,615 mi"
Dodge,Journey Crossroad FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$17,134",Gasoline,"70,383 mi"
Dodge,Journey SE Value FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$17,000",Gasoline,"57,250 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2018,4-Speed Automatic,"$13,400",Gasoline,"69,593 mi"
Dodge,Journey SE Value FWD,172 hp 2.4L I4,4 doors,2020,4-Speed Automatic,"$13,995",Gasoline,"110,640 mi"
Dodge,RAM 2500 SLT Quad Cab 4WD,305 hp 5.9L I6 Diesel,4 doors,2004,4-Speed Automatic,"$15,450",Diesel,"195,655 mi"
Dodge,RAM 1500 SRT-10 Quad Cab RWD,500 hp 8.3L V10,4 doors,2005,4-Speed Automatic,"$19,000",Gasoline,"109,000 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2015,4-Speed Automatic,"$6,490",Gasoline,"91,417 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2015,4-Speed Automatic,"$6,999",Gasoline,"129,188 mi"
Dodge,RAM 2500 SLT Quad Cab 4WD,325 hp 5.9L I6 Diesel,4 doors,2007,4-Speed Automatic,"$18,898",Diesel,"175,133 mi"
Dodge,Journey SE FWD,173 hp 2.4L I4,4 doors,2019,4-Speed Automatic,"$15,000",Gasoline,"52,759 mi"
Dodge,Avenger SE FWD,173 hp 2.4L I4,4 doors,2012,4-Speed Automatic,"$6,895",Gasoline,"108,163 mi"
Dodge,Challenger SE RWD,250 hp 3.5L V6,2 doors,2010,4-Speed Automatic,"$10,966",Gasoline,"52,795 mi"
Dodge,Durango R/T 4WD,245 hp 5.9L V8,4 doors,2002,4-Speed Automatic,"$10,588",Gasoline,"85,077 mi"
Dodge,Nitro SXT 4WD,210 hp 3.7L V6,4 doors,2010,4-Speed Automatic,"$3,995",Gasoline,"192,951 mi"
